koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm,ces_total,ces_per_1000_view,weighted_engagement_per_view,high_weight_engagement_ratio,like_rate,collect_rate,comment_rate,share_rate,interaction_rate,deep_demand_ratio,note_quote,ces_unit_price,ad_value_per_1000_view,video_cpe_calc,video_cpm_calc,post_cpe_calc,post_cpm_calc,commercial_traffic_drop_pct
420496627,low,budy_building,50700,1,4886,408,19,12,6,0,7000.0,0.11,9.07,4500.0,9.72,828.42,499,102.12853,0.10212853,0.04044944,0.08350389,0.00388866,0.002456,0.001228,0.09107655,0.06966292,7000.0,14.02805611,1432.664756,0.17520674,15.061699,0.11263291,9.682521,99.4006
420496627,low,budy_building,50700,0,6113,300,281,11,26,0,7000.0,0.11,9.07,4500.0,9.72,828.42,729,119.254049,0.11925405,0.05987055,0.04907574,0.04596761,0.00179944,0.00425323,0.10109602,0.47249191,7000.0,9.60219479,1145.100605,0.17520674,15.061699,0.11263291,9.682521,99.4006
420496627,low,budy_building,50700,3,5032,386,69,27,16,1,7000.0,0.11,9.07,4500.0,9.72,828.42,627,124.602544,0.12460254,0.08634538,0.07670906,0.01371224,0.00536566,0.00317965,0.09896661,0.19277108,7000.0,11.16427432,1391.096979,0.17520674,15.061699,0.11263291,9.682521,99.4006
420496627,low,budy_building,50700,1,986,208,11,12,4,0,7000.0,0.11,9.07,4500.0,9.72,828.42,283,287.018256,0.28701826,0.06808511,0.21095335,0.01115619,0.01217039,0.0040568,0.23833671,0.09787234,7000.0,24.73498233,7099.391481,0.17520674,15.061699,0.11263291,9.682521,99.4006
FitMoMo,low,budy_building,321600,1,9849,370,539,17,31,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,1101,111.787999,0.111788,0.05015674,0.03756727,0.05472637,0.00172606,0.00314753,0.09716723,0.58098224,18000.0,16.34877384,1827.59671,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,0,27000,786,1513,45,156,1,18000.0,21.9,1453.75,9000.0,0.0,0.0,3103,114.925926,0.11492593,0.0804,0.02911111,0.05603704,0.00166667,0.00577778,0.09259259,0.6232,18000.0,5.8008379,666.666667,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,0,4067,248,12,15,28,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,432,106.220802,0.1062208,0.14191419,0.06097861,0.00295058,0.00368822,0.00688468,0.07450209,0.08910891,18000.0,41.66666667,4425.866732,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,1,4502,169,169,3,36,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,494,109.729009,0.10972901,0.10344828,0.03753887,0.03753887,0.00066637,0.00799645,0.08374056,0.45623342,18000.0,36.43724696,3998.223012,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,3,58000,1619,1329,38,814,1,18000.0,21.9,1453.75,9000.0,0.0,0.0,6356,109.586207,0.10958621,0.22421053,0.02791379,0.02291379,0.00065517,0.01403448,0.06551724,0.35973684,18000.0,2.83196979,310.344828,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,1,3044,149,110,5,13,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,331,108.738502,0.1087385,0.06498195,0.04894875,0.03613666,0.00164258,0.0042707,0.09099869,0.41516245,18000.0,54.38066465,5913.272011,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
