koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
990226zr,low,budy_building,64000,3,251000,6155,1125,353,269,1,10000.00,3.60,245.12,5500.00,0.00,0.00
990226zr,low,budy_building,64000,3,11000,351,43,29,17,0,10000.00,3.60,245.12,5500.00,0.00,0.00
990226zr,low,budy_building,64000,1,66000,2804,514,17,68,0,10000.00,3.60,245.12,5500.00,0.00,0.00
990226zr,low,budy_building,64000,1,61000,6483,6086,60,560,1,10000.00,3.60,245.12,5500.00,0.00,0.00
990226zr,low,budy_building,64000,0,9299,261,64,19,11,0,10000.00,3.60,245.12,5500.00,0.00,0.00
990226zr,low,budy_building,64000,0,41000,2774,3081,103,211,1,10000.00,3.60,245.12,5500.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,3,12000,1021,89,20,20,1,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,3,3025,250,23,6,3,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,17000,1257,159,48,52,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,5131,389,33,17,11,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,3,8958,2048,213,44,60,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,5770,427,46,17,15,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,10000,2654,254,43,59,1,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,181000,17000,1629,825,2042,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,1,193000,25000,1978,1530,3815,0,,,,431.00,0.00,0.00
GDDXCCB778,low,budy_building,51300,3,3383,407,100,17,23,0,,,,431.00,0.00,0.00
186169177XHS,low,budy_building,98700,5,22000,1428,423,65,60,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,3,13000,824,213,56,31,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,5,155000,8600,1057,1141,720,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,3,75000,4496,903,427,267,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,3,56000,3256,613,369,183,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,1,10000,1092,179,11,14,1,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,5,25000,1756,332,42,25,1,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,1,13000,1183,229,20,11,1,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,3,42000,2739,454,193,126,0,6804.00,0.00,0.00,6100.00,1.74,135.35
186169177XHS,low,budy_building,98700,3,42000,2739,454,193,126,0,6804.00,0.00,0.00,6100.00,1.74,135.35
wsxmm1217,low,budy_building,56900,3,2673,159,11,27,5,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,3,5584,412,67,21,6,1,6800.00,3.52,262.89,4000.00,0.00,0.00
